timestamp;TIME;latitude;longitude;locked
20250715_153325.115663;20250715;0;0;searching
20250715_153325.452037;20250715;0;0;searching
20250715_153325.794588;20250715;0;0;searching
20250715_153326.132960;20250715;0;0;searching
20250715_153326.468413;20250715;45.870695;8.979831667;locked
20250715_153326.824621;20250715;0;0;searching
20250715_153327.166678;20250715;0;0;searching
20250715_153327.505339;20250715;0;0;searching
20250715_153327.841918;20250715;0;0;searching
20250715_153328.182263;20250715;0;0;searching
20250715_153328.516157;20250715;45.87069;8.97982;locked
20250715_153328.851750;20250715;0;0;searching
20250715_153329.198270;20250715;0;0;searching
20250715_153329.541564;20250715;0;0;searching
20250715_153329.874194;20250715;0;0;searching
20250715_153330.206871;20250715;0;0;searching
20250715_153330.536032;20250715;45.87068667;8.97981;locked
20250715_153330.880944;20250715;0;0;searching
20250715_153331.217509;20250715;0;0;searching
20250715_153331.559260;20250715;0;0;searching
20250715_153331.905038;20250715;0;0;searching
20250715_153332.245577;20250715;0;0;searching
20250715_153332.587435;20250715;45.87069;8.979806667;locked
20250715_153332.918368;20250715;0;0;searching
20250715_153333.269389;20250715;0;0;searching
20250715_153333.603150;20250715;0;0;searching
20250715_153333.939726;20250715;0;0;searching
20250715_153334.281185;20250715;0;0;searching
20250715_153334.631114;20250715;45.87069167;8.9798;locked
20250715_153335.020103;20250715;0;0;searching
20250715_153335.355883;20250715;0;0;searching
20250715_153335.685697;20250715;0;0;searching
20250715_153336.047862;20250715;0;0;searching
20250715_153336.392627;20250715;0;0;searching
20250715_153336.748928;20250715;45.87069167;8.97979;locked
20250715_153337.086578;20250715;0;0;searching
20250715_153337.425235;20250715;0;0;searching
20250715_153337.764296;20250715;0;0;searching
20250715_153338.103540;20250715;0;0;searching
20250715_153338.447471;20250715;0;0;searching
20250715_153338.775559;20250715;45.87069333;8.979783333;locked
20250715_153339.108835;20250715;0;0;searching
20250715_153339.437871;20250715;0;0;searching
20250715_153339.768408;20250715;0;0;searching
20250715_153340.100243;20250715;0;0;searching
20250715_153340.459525;20250715;0;0;searching
20250715_153340.803815;20250715;45.870695;8.979773333;locked
20250715_153341.136683;20250715;0;0;searching
20250715_153341.472519;20250715;0;0;searching
20250715_153341.822271;20250715;0;0;searching
20250715_153342.165689;20250715;0;0;searching
20250715_153342.509352;20250715;0;0;searching
20250715_153342.846316;20250715;45.87069333;8.979763333;locked
20250715_153343.181836;20250715;0;0;searching
20250715_153343.516540;20250715;0;0;searching
20250715_153343.854989;20250715;0;0;searching
20250715_153344.188538;20250715;0;0;searching
20250715_153344.524014;20250715;0;0;searching
20250715_153344.866472;20250715;45.87069;8.97975;locked
20250715_153345.204021;20250715;0;0;searching
20250715_153345.542345;20250715;0;0;searching
20250715_153345.875093;20250715;0;0;searching
20250715_153346.226074;20250715;0;0;searching
20250715_153346.577982;20250715;0;0;searching
20250715_153346.924976;20250715;0;0;searching
