timestamp,latitude,longitude,locked
20250715_153334.281185,0.0,0.0,searching
20250715_153334.631114,45.870691666666666,8.979800000000001,locked
20250715_153335.020103,0.0,0.0,searching
20250715_153335.355883,0.0,0.0,searching
20250715_153335.685697,0.0,0.0,searching
20250715_153336.047862,0.0,0.0,searching
20250715_153336.392627,0.0,0.0,searching
20250715_153336.748928,45.870691666666666,8.979790000000001,locked
20250715_153337.086578,0.0,0.0,searching
20250715_153337.425235,0.0,0.0,searching
20250715_153337.764296,0.0,0.0,searching
20250715_153338.103540,0.0,0.0,searching
20250715_153338.447471,0.0,0.0,searching
20250715_153338.775559,45.870693333333335,8.979783333333334,locked
20250715_153339.108835,0.0,0.0,searching
20250715_153339.437871,0.0,0.0,searching
20250715_153339.768408,0.0,0.0,searching
20250715_153340.100243,0.0,0.0,searching
20250715_153340.459525,0.0,0.0,searching
20250715_153340.803815,45.87069499999999,8.979773333333332,locked
20250715_153341.136683,0.0,0.0,searching
20250715_153341.472519,0.0,0.0,searching
20250715_153341.822271,0.0,0.0,searching
20250715_153342.165689,0.0,0.0,searching
20250715_153342.509352,0.0,0.0,searching
20250715_153342.846316,45.870693333333335,8.979763333333333,locked
20250715_153343.181836,0.0,0.0,searching
20250715_153343.516540,0.0,0.0,searching
20250715_153343.854989,0.0,0.0,searching
20250715_153344.188538,0.0,0.0,searching
20250715_153344.524014,0.0,0.0,searching
20250715_153344.866472,45.870689999999996,8.97975,locked
20250715_153345.204021,0.0,0.0,searching
20250715_153345.542345,0.0,0.0,searching
20250715_153345.875093,0.0,0.0,searching
20250715_153346.226074,0.0,0.0,searching
20250715_153346.577982,0.0,0.0,searching
20250715_153346.924976,0.0,0.0,searching
20250715_153347.249012,0.0,0.0,searching
20250715_153347.576205,0.0,0.0,searching
20250715_153347.902169,0.0,0.0,searching
20250715_153348.236694,0.0,0.0,searching
20250715_153348.561375,0.0,0.0,searching
20250715_153348.883166,0.0,0.0,searching
20250715_153349.213866,0.0,0.0,searching
20250715_153349.540628,0.0,0.0,searching
20250715_153349.867949,0.0,0.0,searching
20250715_153350.197089,0.0,0.0,searching
20250715_153350.536892,0.0,0.0,searching
20250715_153350.861019,0.0,0.0,searching
20250715_153351.189201,0.0,0.0,searching
20250715_153351.538622,0.0,0.0,searching
20250715_153351.874674,0.0,0.0,searching
20250715_153352.201240,0.0,0.0,searching
20250715_153352.528867,0.0,0.0,searching
20250715_153352.860067,0.0,0.0,searching
20250715_153353.182907,0.0,0.0,searching
20250715_153353.519573,0.0,0.0,searching
20250715_153353.849318,0.0,0.0,searching
20250715_153354.175007,0.0,0.0,searching
